Пункт	Температура воздуха наиболее холодных суток, °С, обеспеченностью 0,98	Температура воздуха наиболее холодных суток, °С, обеспеченностью  0,92	Темпедневки, °С, обеспеченностью 0,98	Темпедневки, °С, обеспеченностью 0,92	Температура воздуха, °С, обеспеченностью 0,94	Абсолютная минимальная температура воздуха, °С	Средняя суточная амплитуда температуры воздуха наиболее холодного месяца, °С	Продолжительность периода со средней суточной температурой воздуха 0 °С, сут	Средняя температура воздуха периода со средней суточной температурой воздуха 0 °С, °С	Продолжительность периода со средней суточной температурой воздуха 8 °С, сут	Средняя температура воздуха периода со средней суточной температурой воздуха 8 °С, °С	Продолжительность периода со средней суточной температурой воздуха 10 °С, сут	Средняя температура воздуха периода со средней суточной температурой воздуха 10 °С, °С	Средняя месячная относительная влажность воздуха наиболее холодного месяца, %	Средняя месячная относительная влажность воздуха в 15 ч наиболее холодного месяца, %	Количество осадков за ноябрь-март,  мм	Преобла- ладаю- щее направление ветра за декабрь-февраль	Максимальная из средних скоростей ветра по румбам за январь, м/с	Средняя скорость ветра, м/с, за период со средней суточной температурой воздуха 8 °С	Республика, край, область	Lat	Lon
Олекминск	-55	-53	-53	-49	-35	-60	7.9	204	-20.4	253	-15.7	267	-14.4	79	78	72	З	2.7	2.4	Республика Саха (Якутия)	60.37476	120.406318
Оленек	-59	-58	-57	-55	-44	-63	7.4	240	-23.4	287	-18.9	300	-17.7	78	78	62	В	2.5	2.4	Республика Саха (Якутия)	NA	NA
Охотский Перевоз	-58	-57	-56	-55	-49	-60	7.9	218	-26.7	260	-21.7	274	-20.1	74	74	54	Ю	1.8	1.1	Республика Саха (Якутия)	61.878065	135.526446
Сангар	-53	-52	-51	-50	-44	-61	6.4	220	-24	261	-19.6	274	-18.2	70	70	58	В	7.6	3.6	Республика Саха (Якутия)	63.920227	127.476814
Саскылах	-57	-54	-55	-53	-38	-60	7.5	257	-23.9	308	-19.3	327	-17.6	74	73	46	ЮВ	3.4	3.2	Республика Саха (Якутия)	71.963018	114.092096
Среднеколымск	-54	-52	-52	-50	-40	-58	6.5	232	-24.5	277	-19.8	294	-18.1	77	77	64	ЮЗ	1.9	1.6	Республика Саха (Якутия)	67.458183	153.707009
Сунтар	-56	-55	-55	-52	-37	-60	9.4	208	-21.7	257	-16.8	270	-15.5	77	73	63	Ю	2.3	2.1	Республика Саха (Якутия)	62.160619	117.647601
Сухана	-62	-61	-60	-59	-46	-64	8.6	235	-26.7	284	-21.4	297	-20.1	72	72	49	Ю	2.6	1.3	Республика Саха (Якутия)	NA	NA
Сюльдюкар	-61	-58	-56	-53	-43	-63	11.8	222	-22.8	270	-18.0	284	-16.7	75	75	64	ЮЗ	-	1.1	Республика Саха (Якутия)	63.226157	113.730057
Сюрен-Кюель	-51	-50	-49	-46	-40	-53	7.2	239	-22.1	292	-17.4	311	-15.8	75	75	34	ЮЗ	8.7	3	Республика Саха (Якутия)	NA	NA
Токо	-54	-53	-52	-51	-43	-61	14.3	221	-24.4	273	-18.9	288	-17.4	78	76	53	З	2.5	0.6	Республика Саха (Якутия)	NA	NA
Томмот	-56	-54	-54	-51	-41	-60	12.1	214	-21.9	262	-17.1	277	-15.7	77	77	92	СЗ	-	1	Республика Саха (Якутия)	58.958666	126.287561
